player,pos,mean,sd,exp_missed,avail,vor,score
Audric Estime,RB,6.480347880873084,3.5641913344801965,5.89,4.423790421031302,-3.1596095789686984,-3.2371294018414694
Cedric Tillman,WR,6.667297971606473,4.588126969789425,4.68,5.004395418688153,-3.1932081598699504,-3.250384567830239
John Metchie III,WR,6.56807214279849,5.421159872109875,4.68,4.9299176789475725,-3.267685899610531,-3.283210662454797
Calvin Ridley,WR,6.901747813358003,4.141048688014801,5.7299999999999995,4.967228499790304,-3.2303750787678,-3.3099054008168194
Mike Gesicki,TE,5.8881777831563795,5.580560143493798,5.33,4.272392526778467,-3.408206415316597,-3.3749662916975796
Eli Stowers,TE,5.698589743589744,3.7040833333333336,4.01,4.356069042232278,-3.324529899862786,-3.385113616751792
Kendrick Bourne,WR,6.487946625418133,7.399944312234777,5.45,4.7228434993852595,-3.474760079172844,-3.391345620010865
Jahdae Walker,WR,6.557015330511978,3.9342091983071863,4.88,4.883047887310684,-3.3145556912474197,-3.40442798778182
Zach Ertz,TE,5.74654106356617,6.317639124116231,5.13,4.203425772085018,-3.4771731700100457,-3.4070790973599068
Emanuel Wilson,RB,5.553666426403743,7.519386708408356,4.52,4.01497414002953,-3.5684258599704703,-3.4481859141468334
Tank Bigsby,RB,5.705891084261276,5.494915398629467,4.62,4.1082415806681185,-3.4751584193318816,-3.4561420389971893
Lil'Jordan Humphrey,WR,6.402729233565434,3.8416375401392604,4.68,4.805813236487938,-3.3917903420701654,-3.4862912215129622
Jawhar Jordan,RB,6.165842752330012,3.391213513781507,6.23,4.147435992523158,-3.4359640074768425,-3.522132721384548
Rashod Bateman,WR,6.492823236428631,4.774330400090758,5.4799999999999995,4.720664423662228,-3.4769391548958755,-3.5248053913410975
Moliki Matavao,TE,5.754305555555556,3.740298611111111,5.13,4.209105269607843,-3.471493672487221,-3.5302666254873385
Roman Wilson,WR,6.329587563721677,3.797752538233006,4.68,4.750913959593447,-3.4466896189646565,-3.543384748502766
Michael Penix Jr.,QB,13.225829955108146,7.2917540947139585,2.93,10.568994114126127,-3.582309738773521,-3.5480959489929194
Greg Dortch,WR,6.373879190317525,6.021243956848019,5.4799999999999995,4.634185105430859,-3.5634184731272445,-3.5489390317346032
Sean Tucker,RB,5.131987095191326,8.892631616052896,3.63,3.844462097485972,-3.7389379025140284,-3.5500357113081646
Justice Hill,RB,5.832657110516559,8.560088265380863,6.630000000000001,3.854700155097267,-3.7286998449027333,-3.556424821230471
Keaton Mitchell,RB,6.0262589259123205,3.2686741607616336,5.89,4.113807931483087,-3.4695920685169135,-3.5618877500756128
Devin Neal,RB,5.865386361570949,5.269013190342192,5.89,4.003988748590051,-3.579411251409949,-3.5716899814896204
Austin Ekeler,RB,6.631666666666666,3.6474166666666665,8.17,4.082375980392157,-3.5010240196078435,-3.574382575871291
Christian Kirk,WR,6.404893190621508,4.772477915563932,5.4799999999999995,4.656734108004814,-3.5408694705532895,-3.588828331224853
KaVontae Turpin,WR,6.450766499703379,4.650755187012515,5.65,4.657832869638764,-3.53977070891934,-3.593815706018474
Kareem Hunt,RB,5.767869569919901,6.436591169427568,6.09,3.903490553054615,-3.679909446945385,-3.6138092780707876
Dyami Brown,WR,6.131121588158828,5.36466554070581,4.68,4.601947733229802,-3.5956558453283014,-3.6140053247427706
Jaylin Lane,WR,5.9705608652296505,3.0,3.4,4.706206799651607,-3.4913967789064966,-3.6279795353562565
Tyler Higbee,TE,5.416462867323081,6.277906586682468,5.13,3.961983279715442,-3.718615662379622,-3.650508216601171
Brashard Smith,RB,5.279412037086103,4.006639709869841,3.63,3.9549007230759714,-3.6284992769240287,-3.6838966810273175
Emmett Johnson,RB,5.541470588235295,3.047808823529412,4.62,3.989858823529412,-3.593541176470588,-3.6968801248908982
Jack Bech,WR,5.866017936844084,3.1657854952914617,3.4,4.62380237374769,-3.5738012048104135,-3.7020946864956
Darnell Washington,TE,5.565572935342643,3.0,5.13,4.071052908881516,-3.6095460332135483,-3.705333916769221
Ray Davis,RB,5.0394415507736925,6.9175607737716,3.63,3.775134597006057,-3.808265402993943,-3.718116753902144
Alvin Kamara,RB,6.754720851071796,4.897828832526436,9.67,3.8601242981272064,-3.7232757018727938,-3.734113649843253
Jahan Dotson,WR,5.804532294569239,3.480736101677892,3.4,4.575337220425165,-3.622266358132938,-3.7348123094988033
Mike Washington Jr.,RB,5.453636363636363,3.0,4.62,3.9266181818181813,-3.656781818181819,-3.7625112077785996
Michael Mayer,TE,5.367810175283778,5.60240333043981,5.53,3.8632445585057074,-3.8173543835893566,-3.7830221006230387
Adam Randall,RB,5.383333333333334,3.0,4.62,3.8760000000000003,-3.7074,-3.8131293895967806
Dawson Knox,TE,5.033074629901337,5.224712910773184,4.01,3.8473414597392868,-3.8332574823557772,-3.8178097203727908
Michael Carter,RB,5.58838039230542,4.885496589199191,6.23,3.759007634471322,-3.824392365528678,-3.8358469256654995
Jordan Whittington,WR,5.645562096476338,3.0,3.4,4.450031299575467,-3.747572278982637,-3.884155035432397
Xavier Smith,WR,5.584421838809972,3.752193802741715,3.4,4.40183839059139,-3.7957651879667136,-3.8947382542793876
Bam Knight,RB,5.3244141595159356,5.895986051132712,5.89,3.6346956659519076,-3.9487043340480925,-3.9096344210882377
